Date,Snow_depth_cm,accumulation,melt,,
4/6/2020,0,,,,
4/7/2020,0,,,,
4/8/2020,0,,,,
4/9/2020,0,,,,
4/10/2020,0,,,,
4/11/2020,0,,,,
4/12/2020,5,accumulation,,,
4/13/2020,5,,,,
4/14/2020,5,,melt,,
4/15/2020,1,,melt,,
4/16/2020,45,accumulation,,3,
4/17/2020,35,,melt,5,
4/18/2020,10,,melt,,
4/19/2020,5,,melt,,
4/20/2020,0,,melt,,
4/21/2020,0,,melt,,
4/22/2020,0,,melt,,
4/23/2020,0,,melt,,
4/24/2020,0.5,accumulation,melt,,
4/25/2020,0,,,,
4/26/2020,0,,,,
4/27/2020,0,,,,
4/28/2020,0,,,,
4/29/2020,0,,,,
4/30/2020,0,,,,
5/1/2020,0,,,,
5/2/2020,0,,,,
5/3/2020,0,,,,
5/4/2020,0,,,,
5/5/2020,0,,,,
5/6/2020,0,,,,
5/7/2020,0,,,,
5/8/2020,0,,,,
5/9/2020,0,,,,
5/10/2020,0,,,,
5/11/2020,0,,,,
5/12/2020,0,,,,
5/13/2020,0,,,,
5/14/2020,0,,,,
5/15/2020,0,,,,
5/16/2020,0,,,,
5/17/2020,0,,,,
5/18/2020,0,,,,
5/19/2020,0,,,,
5/20/2020,0,,,,
5/21/2020,0,,,,
5/22/2020,0,,,,
5/23/2020,0,,,,
5/24/2020,0,,,,
5/25/2020,0,,,,
5/26/2020,0,,,,
5/27/2020,0,,,,
5/28/2020,0,,,,
5/29/2020,0,,,,
5/30/2020,0,,,,
5/31/2020,0,,,,
6/1/2020,0,,,,
6/2/2020,0,,,,
6/3/2020,0,,,,
6/4/2020,0,,,,
6/5/2020,0,,,,
6/6/2020,0,,,,
6/7/2020,0,,,,
6/8/2020,0,,,,
6/9/2020,0.5,accumulation,melt,,
6/10/2020,0,,,,
6/11/2020,0,,,,
6/12/2020,0,,,,
6/13/2020,0,,,,
6/14/2020,0,,,,
6/15/2020,0,,,,
6/16/2020,0,,,,
6/17/2020,0,,,,
6/18/2020,0,,,,
6/19/2020,0,,,,
6/20/2020,0,,,,
6/21/2020,0,,,,
6/22/2020,0,,,,
6/23/2020,0,,,,
6/24/2020,0,,,,
6/25/2020,0,,,,
6/26/2020,0,,,,
6/27/2020,0,,,,
6/28/2020,0,,,,
6/29/2020,0,,,,
6/30/2020,0,,,,
7/1/2020,0,,,,
7/2/2020,0,,,,
7/3/2020,0,,,,
7/4/2020,0,,,,
7/5/2020,0,,,,
7/6/2020,0,,,,
7/7/2020,0,,,,
7/8/2020,0,,,,
7/9/2020,0,,,,
7/10/2020,0,,,,
7/11/2020,0,,,,
7/12/2020,0,,,,
7/13/2020,0,,,,
7/14/2020,0,,,,
7/15/2020,0,,,,
7/16/2020,0,,,,
7/17/2020,0,,,,
7/18/2020,0,,,,
7/19/2020,0,,,,
7/20/2020,0,,,,
7/21/2020,0,,,,
7/22/2020,0,,,,
7/23/2020,0,,,,
7/24/2020,0,,,,
7/25/2020,0,,,,
7/26/2020,0,,,,
7/27/2020,0,,,,
7/28/2020,0,,,,
7/29/2020,0,,,,
7/30/2020,0,,,,
7/31/2020,0,,,,
